============================================================
  CPU SCHEDULING SIMULATION - FIFO (First-In First-Out)
============================================================

Number of processes:                         500
Total elapsed time (CPU burst units):        14734
Throughput (avg burst time per process):     21.1160
CPU utilization (%):                         71.66%
Average waiting time (burst units):          17.88
Average turnaround time (burst units):       39.00
Average response time (burst units):         17.88

------------------------------------------------------------
PID   Arrival   Burst   Start     Finish    Wait      Turnaround   Response  
329   9792      38      9794      9832      2         40           2         
330   9834      1       9834      9835      0         1            0         
331   9882      24      9882      9906      0         24           0         
332   9897      8       9906      9914      9         17           9         
333   9925      19      9925      9944      0         19           0         
334   9954      19      9954      9973      0         19           0         
335   9960      40      9973      10013     13        53           13        
336   9994      29      10013     10042     19        48           19        
337   10007     7       10042     10049     35        42           35        
338   10049     33      10049     10082     0         33           0         
339   10089     10      10089     10099     0         10           0         
340   10098     29      10099     10128     1         30           1         
341   10104     10      10128     10138     24        34           24        
342   10120     10      10138     10148     18        28           18        
343   10126     13      10148     10161     22        35           22        
344   10184     9       10184     10193     0         9            0         
345   10226     29      10226     10255     0         29           0         
346   10257     23      10257     10280     0         23           0         
347   10294     29      10294     10323     0         29           0         
348   10298     26      10323     10349     25        51           25        
349   10318     23      10349     10372     31        54           31        
350   10348     40      10372     10412     24        64           24        
351   10391     23      10412     10435     21        44           21        
352   10413     38      10435     10473     22        60           22        
353   10446     13      10473     10486     27        40           27        
354   10461     34      10486     10520     25        59           25        
355   10516     13      10520     10533     4         17           4         
356   10562     19      10562     10581     0         19           0         
357   10579     20      10581     10601     2         22           2         
358   10595     1       10601     10602     6         7            6         
359   10599     25      10602     10627     3         28           3         
360   10599     40      10627     10667     28        68           28        
361   10638     5       10667     10672     29        34           29        
362   10672     4       10672     10676     0         4            0         
363   10701     30      10701     10731     0         30           0         
364   10744     8       10744     10752     0         8            0         
365   10744     17      10752     10769     8         25           8         
366   10770     30      10770     10800     0         30           0         
367   10810     14      10810     10824     0         14           0         
368   10819     12      10824     10836     5         17           5         
369   10823     24      10836     10860     13        37           13        
370   10842     7       10860     10867     18        25           18        
371   10855     15      10867     10882     12        27           12        
372   10906     15      10906     10921     0         15           0         
373   10956     7       10956     10963     0         7            0         
374   11016     28      11016     11044     0         28           0         
375   11022     20      11044     11064     22        42           22        
376   11070     3       11070     11073     0         3            0         
377   11121     15      11121     11136     0         15           0         
378   11178     16      11178     11194     0         16           0         
379   11220     30      11220     11250     0         30           0         
380   11248     16      11250     11266     2         18           2         
381   11303     13      11303     11316     0         13           0         
382   11304     39      11316     11355     12        51           12        
383   11329     37      11355     11392     26        63           26        
384   11358     16      11392     11408     34        50           34        
385   11370     11      11408     11419     38        49           38        
386   11412     17      11419     11436     7         24           7         
387   11431     1       11436     11437     5         6            5         
388   11452     36      11452     11488     0         36           0         
389   11456     22      11488     11510     32        54           32        
390   11462     17      11510     11527     48        65           48        
391   11465     32      11527     11559     62        94           62        
392   11484     36      11559     11595     75        111          75        
393   11488     29      11595     11624     107       136          107       
394   11529     34      11624     11658     95        129          95        
395   11585     39      11658     11697     73        112          73        
396   11612     16      11697     11713     85        101          85        
397   11654     13      11713     11726     59        72           59        
398   11666     5       11726     11731     60        65           60        
399   11696     34      11731     11765     35        69           35        
400   11742     13      11765     11778     23        36           23        
401   11742     37      11778     11815     36        73           36        
402   11784     9       11815     11824     31        40           31        
403   11834     22      11834     11856     0         22           0         
404   11838     39      11856     11895     18        57           18        
405   11887     25      11895     11920     8         33           8         
406   11891     2       11920     11922     29        31           29        
407   11915     23      11922     11945     7         30           7         
408   11915     24      11945     11969     30        54           30        
409   11949     36      11969     12005     20        56           20        
410   11995     30      12005     12035     10        40           10        
411   12015     31      12035     12066     20        51           20        
